БЕЛГОРОДСКАЯ ЗЕРНОВАЯ КОМПАНИЯ (ЗАО);(47242) 4-95-25, 4-95-40
«ПУШКИНО» ЗАО;(40144) 9-24-33, 9-24-10, 2-28-34
«РУСЬ» АГРОМЕЛИОРАТИВНОЕ ПРЕДПРИЯТИЕ (ЗАО);(40143) 7-11-44
«РУСЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ (ООО);(40151) 3-70-86, 3-02-70
«САДОВОЕ» ЗАО;(40144) 9-42-33, 2-23-37, 9-42-10, 9-42-37
«САДОВОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(40142) 7-22-49, 7-22-55
«СЕВСКОЕ» ЗАО;(40157) 7-23-33, 7-23-42
«СЛАВА» ЗАО;(40164) 3-37-42
«СТРАЖ БАЛТИКИ» ЗАО;(40150) 4-44-88
«ТИМИРЯЗЕВСКОЕ» ООО;(40163) 3-11-59
«ТМИН» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(40143) 9-44-23
«ТРУД» ЗАО;(40162) 2-28-97, 2-37-86
«УЗЛОВОЕ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(40164) 2-23-96, 3-52-16
«ЧИСТЫЕ ПРУДЫ» ЗАО;(40144) 9-32-33, 2-28-34
«ЭКО-МОЛОКО» ООО;(40141) 3-23-01, 3-52-61
«ЯНТАРЬ» ООО;(40162) 2-53-07, 2-53-06, 2-54-51
«ЯСНОЕ» ЗАО;(40144) 9-34-30, 2-28-34
ВСЕВОЛОЖСКАЯ СЕЛЕКЦИОННАЯ СТАНЦИЯ (ЗАО);"(812) 296-04-24, 933-99-85; (911) 910-0975"
ПЛЕМЕННОЕ ХОЗЯЙСТВО ИМЕНИ ТЕЛЬМАНА (ЗАО);"(81361) 4-81-04; (812) 482-77-89"
РУССКО-ВЫСОЦКАЯ ПТИЦЕФАБРИКА (ООО);(812) 423-02-83, 448-31-83
СВИРСКИЙ РЫБОВОДНЫЙ ЗАВОД. ГП «СЕВЗАПРЫБВОД»;(81364) 5-81-21
ФЕДЕРАЛЬНЫЙ СЕЛЕКЦИОННО-ГЕНЕТИЧЕСКИЙ ЦЕНТР РЫБОВОДСТВА;(812) 422-79-95
«АГРО-БАЛТ» ПЛЕМЗАВОД (ЗАО);(81375) 6-43-94, 2-54-50
«АГРОТЕХНИКА» ЗАО;(81361) 7-45-73, 7-45-41
«АЛЕКСИНО» ЗАО;(81363) 3-81-76
«АНДРЕЕВСКОЕ» СЕЛЬХОЗПРЕДПРИЯТИЕ (ЗАО);(81367) 3-82-90, 3-83-10
«БЕЛОГОРКА» НИИ;(81371) 9-12-51, 9-33-17
«БЕРЕЗОВСКОЕ» ЗАО;(81368) 2-42-60
«БИОМАР» ООО;"(812) 741-27-54; (921) 754-36-92"
«БОЛЬШЕВИК» ПЛЕМЗАВОД (ЗАО);(81371) 9-43-48, 5-46-23
«БОР» ЖИВОТНОВОДЧЕСКИЙ КОМПЛЕКС (ООО);(81379) 3-39-54
«БУГРЫ» МОЛОЧНАЯ ФЕРМА (ООО);(812) 318-35-94
«БУДОГОЩЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81368) 7-35-01
«ВАРТЕМЯГИ» ЗАО;"(81370) 5-14-80; (812) 718-17-69"
«ВЕСНА-ТИХВИН» ЗАО;(81367) 5-38-43, 6-06-14
«ВИГОВСКИЙ В.В,» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(921) 767-35-75
«ВИННИЦКОЕ» ЗАО;(81365) 7-53-47, 7-53-75
«ВОЙСКОВИЦЫ» ПЛЕМЕННАЯ ПТИЦЕФАБРИКА (ЗАО);(81371) 6-31-60, 6-32-45
«ВОЛНА» ООО;"(81366) 4-58-03; (812) 534-19-19"
«ВОЛОШОВО» ОАО;(81372) 5-61-39, 5-61-47
«ВОЛХОВСКОЕ» ЗАО;(81363) 7-22-30, 4-90-46
«ВОСХОД» СП (ООО);(81361) 7-71-22, 7-70-30
«ВСЕВОЛОЖСКИЙ» СОВХОЗ (ОАО);(81370) 7-43-45
«ВЫБОРЖЕЦ» АГРОФИРМА (ЗАО);"(812) 525-72-00, 525-70-98, 331-54-60; (81370) 7-23-59"
«ГАТЧИНСКОЕ» ЗАО;(81371) 6-10-01, 6-11-03
«ГОМОНТОВО» ПЛЕМЗАВОД (ЗАО);(81373) 5-11-70, 5-11-33, 5-11-09
«ГОРИЗОНТ» ЗАО;(81362) 6-11-41
«ГОРСКИЙ» АГРОФИРМА (ЗАО);(81367) 3-92-31, 3-92-44
«ГРАЖДАНСКИЙ» ЗАО;(81379) 6-63-98, 6-18-33
«ДАЛЬНЯЯ ПОЛЯНА» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(81362) 6-88-92, 6-88-97, 6-84-71
«ДЖАТИЕВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81379) 9-95-30, 9-95-18, 9-99-18
«ДОМАШОВО» ЗАО;(81375) 6-64-33, 6-64-35
«ЗАГРИВСКОЕ» АГРОПРОМЫШЛЕННОЕ ПРЕДПРИЯТИЕ (ООО);(81374) 6-72-78
«ЗАОЗЕРЬЕ» ООО;"(81366) 2-21-45; (921) 302-84-28, 592-0340"
«ЗАРЕЧЬЕ» ЗАО;(81363) 3-77-35, 7-24-81, 3-74-76
«ИСАКОВСКИЙ» ЗАО;(81367) 4-31-81, 4-31-42
«КАЛОЖИЦЫ» ОПХ;(81373) 6-11-44, 6-12-46
«КАПШИНСКАЯ» СЕЛЬСКОХОЗЯЙСТВЕННАЯ АРТЕЛЬ;(81367) 4-12-43, 4-12-24
«КАРЕЛЬСКИЙ» ЗАО;(81378) 2-81-89, 2-52-27
«КИКЕРИНО» ЗАО;(81373) 7-12-57, 7-13-32
«КИПЕНЬ» ЗАО;(81376) 7-32-85
«КИРИШСКИЙ» ОАО;(81368) 7-22-25
«КИРОВСКИЙ ТРАНСПОРТНИК» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81378) 6-37-95, 6-38-54, 6-38-49
«КЛЕВЕР» ООО;(812) 466-66-20
«КЛИМОВО» ООО;(81366) 5-52-89, 5-51-26
«КОБРАЛОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81371) 6-91-40, 6-92-50, 9-33-17
«КОНДРАТЬЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81378) 6-31-45, 6-31-31, 6-31-43
«КОПОРЬЕ» ЗАО;(81376) 5-07-10
«КОТЕЛЬСКОЕ» ЗАО;(81375) 6-64-35, 2-55-50
«КОШКИНО» ЗАО;(81375) 6-77-36
«КРАСНАЯ БАЛТИКА» ПЛЕМЗАВОД (ЗАО);(812) 423-06-59
«КРАСНОАРМЕЙСКИЙ» ЗАО;(81379) 9-94-49, 9-93-85, 9-91-10
«КРАСНОГВАРДЕЙСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81371) 1-31-92, 5-93-86
«КРАСНООЗЕРНОЕ» ЗАО;(81379) 6-74-30, 6-28-56, 6-74-49
«КРАСНОСЕЛЬСКОЕ» ЗАО;(81376) 7-42-25
«КУЗНЕЧНОЕ» СП (ООО);(81379) 3-69-62
«КУЛЬТУРА-АГРО» ЗАО;(81367) 3-72-22, 3-72-68
«ЛАГОЛОВО» ПТИЦЕФАБРИКА (ЗАО);(812) 741-46-94, 741-13-68, 741-12-09
«ЛАДОГА» ЗАО;(81362) 5-33-10, 5-33-02, 5-33-31, 2-18-84
«ЛЕБЯЖЬЕ» ПЛЕМЕННАЯ ПТИЦЕФАБРИКА (ООО);"(812) 423-09-60; (81376) 7-24-16"
«ЛЕНИНГРАДЕЦ» ГУП. МИНИСТЕРСТВО ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ;(81370) 5-89-79, 5-84-08
«ЛЕНИНСКИЙ ПУТЬ» ПЛЕМЗАВОД (ЗАО);(81373) 7-83-16, 2-44-63
«ЛЕНОБЛПТИЦЕПРОМ» ООО;"(812) 960-01-60; (81371) 6-62-44"
«ЛОМОНОСОВСКАЯ» ПТИЦЕФАБРИКА (ОАО);"(812) 421-38-51, 421-26-44; (81376) 5-3210"
«ЛЮБАНЬ» ЗАО;(81361) 7-17-53, 7-11-31
«МАТРОСОВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81378) 7-23-72, 7-22-30, 7-23-43
«МГИНСКОЕ» ЗАО;(81362) 5-07-18, 5-07-73
«МГИНСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕР-СКОЕ ХОЗЯЙСТВО;(81362) 5-82-34
«МГИНСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(911) 721-31-51
«МЕЛЬНИКОВО» ЗАО;(81379) 9-13-52, 9-11-01
«МИЧУРИНСКИЙ» КОЛХОЗ;(81372) 5-13-21
«МОЖАЙСКОЕ» ЗАО;(81376) 7-92-10, 7-92-36
«МОЛОДЕЖНЫЙ» ЗАО;(81368) 5-50-51
«МЫСЛИНСКИЙ» ПЛЕМЗАВОД (ОАО);(81363) 3-43-38, 7-29-68
«НАГОРНОЕ» ООО;(81376) 7-12-10
«НАЗИЙСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(81362) 6-67-10
«НАЗИЯ» ООО;(81362) 6-52-64
«НЕВСКАЯ» ПТИЦЕФАБРИКА (ЗАО);(81370) 5-41-01, 5-41-06, 5-41-40, 5-43-00, 5-48-03
«НЕПТУН» ООО;(81366) 4-02-10
«НИВА-1? ЗАО;(81371) 6-05-40, 6-07-32, 6-05-35
«НИВА-2? СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(812) 343-62-04, 343-68-37
«НОВАЯ ЖИЗНЬ» СЕЛЬХОЗПРЕДПРИЯТИЕ;(81375) 6-36-90 Факс: (81375) 6-37-84
«НОВАЯ НЕВСКАЯ» ООО;"(812) 596-35-44; (901) 372-60-60"
«НОВОЕ ВРЕМЯ» ЗАО;(81372) 6-71-35, 6-72-31
«НОВОЛАДОЖСКИЙ» ПЛЕМЗАВОД (ОАО);(81363) 7-15-73, 3-51-19
«НОВЫЙ МИР» ОАО;(81372) 7-75-32, 7-75-31, 6-95-26
«НОВЫЙ СВЕТ» ОАО;(812) 702-39-21
«ОКТЯБРЬСКИЙ» ЗАО;(81373) 7-52-17, 7-52-39
«ОПОЛЬЕ» ЗАО;(81372) 7-82-44, 7-82-90
«ОРЛИНСКОЕ» ЗАО;(81371) 6-56-44, 6-56-00, 6-57-68
«ОСНИЧЕВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81368) 7-13-44
«ОСЬМИНСКОЕ» ЗАО;(81374) 6-12-22
«ПАДОГА» ЗАО;(81375) 6-91-04
«ПАМЯТЬ ИЛЬИЧА» ОПХ;(81371) 4-45-90
«ПАРТИЗАН» ОАО;(81372) 7-22-49, 7-22-61
«ПЕРВОМАЙСКОЕ» ЗАО;(81379) 9-61-60, 9-62-48
«ПЕРЕПЕЛОЧКА» ООО;(812) 960-01-63, 960-01-60
«ПЕТРОВСКИЙ» ЗАО;(81379) 6-14-89, 6-62-32
«ПЕТРОДВОР» ООО;(81366) 6-13-34, 6-13-94
«ПЕТРОХОЛОД — АГРАРНЫЕ ТЕХНОЛОГИИ» ООО;"(812) 245-02-88; (81361) 9-91-06, 9-95-32"
«ПЛАМЯ» ПЛЕМЗАВОД (ОАО);(81371) 6-70-10, 6-72-45, 6-22-84
«ПЛОДОЯГОДНОЕ» ЗАО;"(812) 423-04-81, 423-08-53; (81376) 5-4210"
«ПОБЕДА» ЗАО;(812) 741-40-57
«ПОДПОРОЖСКОЕ» ЗАО;(81365) 7-16-05, 7-16-13
«ПОЛЯНЫ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81378) 6-12-32, 6-12-38, 6-12-75
«ПРИБРЕЖНОЕ» ЗАО;(81375) 6-84-17, 6-83-02
«ПРИБРЕЖНЫЙ ЛОВ» ООО;(81363) 3-01-81, 3-00-03
«ПРИЛАДОЖСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(81362) 6-68-26
«ПРИМОРСКАЯ» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА (ОАО);"(812) 715-99-24; (81378) 7-14-61, 7-13-58"
«ПРУД» ООО;"(81379) 9-96-62; (911) 941-60-90"
«ПСОФИДА» ООО;(812) 946-70-70
«ПУТИЛОВСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(921) 562-09-75
«ПУТИЛОВСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(81362) 6-88-64
«РАБИТИЦЫ» ПЛЕМЗАВОД (ЗАО);(81373) 7-22-18, 2-24-31, 7-22-19
«РАДУГА» ЗАО;(81375) 2-88-74, 2-89-54
«РАЗДОЛЬЕ» ЗАО;(81379) 6-67-17, 6-22-44
«РАППОЛОВО» ПИТОМНИК ЛАБОРАТОРНЫХ ЖИВОТНЫХ. РОССИЙСКАЯ АКАДЕМИЯ МЕДИЦИНСКИХ НАУК;(81370) 5-65-34, 5-15-17, 5-15-18
«РАПТИ» ПЛЕМЗАВОД (ЗАО);(81372) 5-44-60, 5-04-49
«РАССВЕТ» ОАО;(81372) 5-39-72, 5-35-71
«РАСЦВЕТ» ЗАО;(81379) 6-13-74, 6-12-40
«РОДИНА» ЗАО;(81374) 6-51-61
«РОСА» АГРОФИРМА (ЗАО);(81369) 2-24-49
«РОСКАР» ПТИЦЕФАБРИКА (ЗАО);"(812) 314-00-63, 431-99-42, 431-99-93; (81378) 3-51-22"
«РУССКО-БЕЛЬГИЙСКОЕ ОБЩЕСТВО» ОАО;(812) 702-39-21
«РУССКО-ВЫСОЦКАЯ» ООО;(812) 448-31-83, 423-02-83
«РЯБОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81378) 7-13-18, 7-13-46, 2-21-45
«САВОЛЬЩИНА» ООО;(812) 336-87-79
«САТИС» ООО;(81372) 5-91-55, 5-91-65
«СЕВЕРНАЯ ПУШНИНА» ООО;(812) 461-99-64, 461-29-03
«СЕВЕРНАЯ» ПТИЦЕФАБРИКА (ОАО);"(81362) 6-30-00, 6-32-64, 6-32-03; (812) 275-45-53, 421-38-51"
«СЕВЕР» ООО;(81378) 7-81-36
«СЕЛЬЦО» ЗАО;(81373) 5-22-19, 5-22-32
«СИНЯВИНСКАЯ» ЗАО;(81362) 6-51-73, 6-54-37
«СИНЯВИНСКАЯ» ПТИЦЕФАБРИКА (ЗАО);"(81362) 6-51-73, 6-56-21; (812) 449-60-90, 449-60-93, 449-60-92"
«СИРОТИНА» ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ. АССОЦИАЦИЯ «ЛАДОЖСКОЕ ОЗЕРО»;(81363) 3-34-19, 3-02-08
«СКРЕБЛОВО» ЗАО;(81372) 5-83-93
«СМЕНА» СЕЛЬХОЗПРЕДПРИЯТИЕ (ООО);(81378) 6-17-32, 6-17-31
«СОСНОВАЯ ГОРКА» ЗАО;(81378) 4-22-21, 4-21-31, 4-22-91
«СПУТНИК» ПЛЕМЗАВОД (ОАО);(81370) 6-32-11
«СУДАКОВО» СЕЛЬХОЗПРЕДПРИЯТИЕ;(81379) 9-41-30, 9-41-51
«СУЙДА» ОПХ;(81371) 5-88-09, 5-88-07, 5-08-88
«СУМИНО» ЗАО;(81373) 2-15-77, 2-20-43
«СУХОВСКОЕ» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(81362) 5-22-36
«СЯГЛИЦЫ» СЕЛЬХОЗПРЕДПРИЯТИЕ (ОАО);(81373) 5-53-71, 2-13-49
«ТАРАСОВО» ООО;(81378) 6-27-97, 6-27-75
«ТОРОСОВО» ЗАО;(81373) 2-13-24, 7-71-17
«ТРУД» ОАО;(81373) 5-37-10, 5-37-19
«ТЯЩЕВО» КРЕСТЬЯНСКО-ФЕРМЕРСКОЕ ХОЗЯЙСТВО;(81362) 5-48-46
«УДАРНИК» ОАО;(81373) 7-32-10, 7-32-19
«УДАРНИК» ПТИЦЕФАБРИКА (ОАО);(81378) 6-53-22, 6-53-83, 6-53-21, 6-54-89, 6-53-27
«УРОЖАЙ» ООО;(81372) 6-42-05
«УЩЕВИЦЫ» ЗАО;(81373) 6-61-17, 6-11-63, 6-61-42
«ФАЭТОН-АГРО» ООО;(81371) 5-31-50, 5-37-07
«ШЕРЕМЕТЬЕВО» ООО;(81372) 2-10-06, 6-96-93
«ШЕСТАКОВСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81378) 7-05-00, 7-98-68, 2-21-45
«ШУГОЗЕРО» АГРОФИРМА;(81367) 4-48-80, 4-44-89, 4-43-51
«ШУГООЗЕРО» СЕЛЬСКОХОЗЯЙСТВЕННАЯ АРТЕЛЬ;(81367) 4-48-80
«ШУМСКОЕ» ЗАО;(81362) 5-41-22, 5-41-33
«ЯМ-ТЕСОВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81372) 7-86-60, 7-86-72, 7-86-21
«ЯНИНО» СЕЛЬСКОХОЗЯЙСТВЕННАЯ АРТЕЛЬ;(812) 521-01-02, 521-01-04
МУРМАНСКАЯ ГОСУДАРСТВЕННАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ ОПЫТНАЯ СТАНЦИЯ;(81553) 9-13-24
МУРМАНСКИЙ АГРОХОЛДИНГ (ООО);(8152) 43-43-02
"МУСП ""СОВХОЗ УМБСКИЙ""";+7(911)3318795
ПОЛЯРНАЯ ОПЫТНАЯ СТАНЦИЯ. РОССИЙСКАЯ СЕЛЬСКОХОЗЯЙСТВЕННАЯ АКАДЕМИЯ;(81555) 7-29-89
«АХМЕДОВ А.Я.» ИЧП;(81536) 3-15-80
«ВЕЛЬМЯКИН И.А.» ИЧП;(81553) 9-23-84
«ГАМЕТА-ПЛЕМ» ООО;(81553) 9-44-18
«ЗАРЯ» РЫБОЛОВЕЦКИЙ КОЛХОЗ (ООО);(8152) 44-78-22, 44-00-19
«ЗВЕЗДОЧКА» ОАО;(81553) 6-32-55
«ИНДУСТРИЯ» ОАО;(81555) 7-20-11, 7-14-12, 7-21-41, 7-14-97
«КОВДОРСКИЙ» МУП;(81535) 7-94-25
«МЕЛИФАРО» ООО;(8152) 79-84-10
«МОРСКОЕ СОДРУЖЕСТВО» ЗАО;(8152) 45-29-81, 45-73-85
«МУРМАНСКАЯ» ПТИЦЕФАБРИКА (ООО);"(81553) 9-12-86, 9-12-85; (8152) 69-06-70"
«МУРМАНСКИЙ» ГУП;(81553) 7-72-92
«ОЛЕНЕВОД» КОЛХОЗ;(81538) 3-72-47
«ОЛИМП-НОРД» ООО;(8152) 43-50-46
«ПОЛЯРНАЯ ЗВЕЗДА» КОЛХОЗ;(81553) 4-42-41
«ПРИГОРОДНЫЙ» СВИНОКОМПЛЕКС (ООО);(8152) 69-06-80
«ПУШНОЙ» АГРОКОМПЛЕКС (ООО);(81553) 4-73-88
«РОДНИК» КОЛХОЗ;(81553) 9-16-02
«РОССЕЛЬХОЗЦЕНТР» ГУП;(8152) 42-39-59
«СЕВЕРНОЕ СИЯНИЕ» СТРАУСИНАЯ ФЕРМА;(8152) 43-43-07, 62-70-74
«СЕВЕРОМОРЕЦ» ОАО;(81537) 4-21-63
«ТУЛОМА» ПРЕДПРИЯТИЕ;(81553) 7-72-36, 7-72-11, 6-32-55
«ТУНДРА» КОЛХОЗ;(81538) 4-08-41
«ЭНЕРГИЯ» РЫБКОЛХОЗ;(81553) 9-33-81
БОРОВИЧСКАЯ ИНКУБАТОРНО-ПТИЦЕВОДЧЕСКАЯ СТАНЦИЯ (ООО);(81664) 4-15-25
КОЛХОЗ ИМЕНИ ЛЕНИНА;(81657) 2-20-58
Направление деятельности: выращивание кормовых культур;
НИКОЛЬСКИЙ РЫБОРАЗВОДНЫЙ ЗАВОД ИМЕНИ В.П.ВРАССКОГО (ОАО);(81651) 9-65-35
СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ИМЕНИ ИЛЬИЧА;(81652) 7-51-24, 7-51-41
СОЛЕЦКОЕ ЗВЕРОВОДЧЕСКОЕ ХОЗЯЙСТВО (ООО);(81655) 2-64-01
«АГРО-ВОЛОК» ООО;(81664) 9-42-41, 9-49-32
«АГРОСТАНДАРТ» ООО;(81655) 3-04-47
«АГРОЭКОПРОДУКТ» ООО;(81622) 9-43-19
«АГРО» ЗАО;(81668) 6-35-41
«АГРО» ООО;(81652) 5-61-89
«БЕЛГРАНКОРМ — ВЕЛИКИЙ НОВГОРОД» ООО;(81659) 5-12-60
«БЕРЕЗЕЕВО-2? ООО;(81665) 4-23-91
«БОРОВИЧАНИН» ООО;(81664) 9-86-21
«БОРОВИЧСКАЯ» ООО;(81664) 9-41-36
«БУРЕГИ» КОЛХОЗ;(81652) 7-55-18
«ВАЛДАЙСКАЯ» ООО;(81666) 3-73-22
«ВАЛДАЙСКИЙ» КОЛХОЗ;(81666) 3-73-94
«ВАЛДАЙСКИЙ» УЧЕБНОЕ ХОЗЯЙСТВО СЕЛЬХОЗТЕХНИКУМА;(81666) 2-12-88, 2-05-51
«ВЕРНЫЙ ПУТЬ» КОЛХОЗ;(81661) 2-44-96
«ВЕРНЫЙ ПУТЬ» КОЛХОЗ;(81669) 5-17-69
«ВИТАМИН» ООО;(81650) 6-15-07
«ВИШЕРКА» СОВХОЗ (ООО);(81660) 3-38-48
«ВОЗРОЖДЕНИЕ» ООО;(81653) 6-71-34
«ВОСХОД» КОЛХОЗ;(81669) 5-32-16
«ВОСХОД» КОЛХОЗ;(81668) 6-87-42
«ВЯЖИЩИ» МУП;(8162) 74-20-37
«ГВАРДЕЕЦ» ЗАО;(8162) 74-25-44, 74-26-61
«ГОРКИ» КОЛХОЗ;(921) 739-07-92
«ГОСУДАРЬ» АГРОФИРМА (ООО);"(81668) 4-83-08; (812) 959-80-75"
«ДОЛГОЕ» КОЛХОЗ;(81653) 6-87-59
«ДУБИШКИ» ООО;(81653) 6-91-35
«ДУБЛЬ-М» ООО;(952) 487-87-22
«ДУБРОВКА» КОЛХОЗ;(8162) 74-88-49
«ЕРМОЛИНСКОЕ» ОАО;(8162) 74-77-86
«За МИР» КОЛХОЗ;(81669) 5-37-46
«ЗАРЯ» КОЛХОЗ;(81669) 5-46-34
«ЗАРЯ» МУП;(81653) 6-42-12
«ЗЕРНО и КОРМОПРОИЗВОДСТВО» ООО;(81662) 6-14-55
«ЗНАМЯ ЛЕНИНА» КОЛХОЗ;(81655) 2-46-48
«ИЛЬМЕНЬ» КОЛХОЗ;(8162) 74-95-43
«ИМПЭКСЛЕН» ООО;(81655) 2-41-17
«ИМПЭКСЛЕН» ООО;(81655) 2-41-17
«ИСКРА СПА» КОЛХОЗ;(81651) 9-54-30, 9-54-42, 4-21-48
«ИСКРА» КОЛХОЗ;(81652) 7-25-34
«ИСКРА» КОЛХОЗ;(81669) 5-91-74
«ИСКРА» КОЛХОЗ (ООО);(8162) 74-73-81, 74-73-23, 66-50-99
«КАЗОВИЦЫ» КОЛХОЗ;(81656) 5-24-10
«КОЛОС» ЗАО;(8162) 74-01-09
«КОЛОС» КОЛХОЗ;(81655) 2-29-32
«КОЛОС» КОЛХОЗ;(81652) 7-32-43
«КОЛОС» ООО;(81660) 3-54-96
«КОЛОС» ООО;(81667) 5-29-25
«КОММУНАР» КОЛХОЗ;(81665) 4-13-33
«КОМПЛЕКС» КОЛХОЗ;(81655) 2-40-42
«КОРОСТЫНЬ» ООО;(81656) 5-47-10
«КРАСНАЯ ГОРКА» КОЛХОЗ;(81663) 2-23-15
«КРАСНАЯ ЗВЕЗДА» КОЛХОЗ;(81661) 2-25-42
«КРАСНАЯ ЗВЕЗДА» КОЛХОЗ;(81669) 5-45-23
«КРАСНАЯ ЗВЕЗДА» СОВХОЗ;(81666) 3-81-10
«КРАСНОЕ ЗНАМЯ» КОЛХОЗ;(81669) 5-81-16
«КРАСНЫЙ БОР» ЗАО;(81651) 9-63-25
«КРАСНЫЙ ОКТЯБРЬ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81655) 2-43-17
«КРАСНЫЙ ПАРТИЗАН» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81651) 9-43-84
«КРАСНЫЙ УДАРНИК» ООО;(81622) 4-87-75, 4-87-81
«КРЕСТЦЫ» ООО;(81659) 5-32-60
«КУШАВЕРА» МУП;(81667) 5-03-12
«ЛАЗНИЦА» КОЛХОЗ;(81664) 9-32-62
«ЛАЗУРНЫЙ» КОЛХОЗ;(81657) 2-20-58
«ЛЕВОЧСКИЙ» КОЛХОЗ;(81667) 5-46-16
«ЛИПЬЕВСКИЙ» КОЛХОЗ;(81663) 2-33-44
«ЛУЖЕНСКОЙ» КОЛХОЗ;(81651) 9-52-25
«ЛЮБНИЦА» КОЛХОЗ;(81666) 4-14-10
«МАЯК» КОЛХОЗ;(81659) 5-85-49
«МЕДВЕДЬ» КОЛХОЗ;(81656) 5-13-21
«МИНЕЦКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81667) 5-29-25
«МОЛОГА» КОЛХОЗ;(81669) 5-57-23
«МОЛОДИЛЬНО» ООО;(81667) 5-34-60
«МУРАТОВО» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81665) 4-24-18, 4-24-62
«НАДЕЖДА» ООО;(81667) 5-36-43
«НАЛИШКИ» ООО;(81652) 7-15-26
«НАЛЮЧИ» ГУП;(81650) 6-79-35
«НИВА» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ;(81664) 5-64-97, 4-16-89
«НОВГОРОДСКАЯ» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА (ООО);(8162) 68-19-69, 74-28-38, 96-82-33
«НОВГОРОДСКАЯ» ПТИЦЕВОДЧЕСКАЯ ФАБРИКА (ООО);(8162) 94-08-27
«НОВГОРОДСКИЙ БЕКОН» ООО;(8162) 74-97-16, 74-97-48, 74-97-37, 6826-31
